lr,method,lambda,n,error
0.1,full batch,0,50,0.068
0.1,full batch,0.001,50,0.064
0.1,full batch,0.01,50,0.072
0.1,full batch,0.1,50,0.822
0.1,full batch,0,100,0.078
0.1,full batch,0.001,100,0.07
0.1,full batch,0.01,100,0.078
0.1,full batch,0.1,100,0.822
0.1,full batch,0,150,0.062
0.1,full batch,0.001,150,0.062
0.1,full batch,0.01,150,0.078
0.1,full batch,0.1,150,0.822
0.1,sgd,0,50,0.09
0.1,sgd,0.001,50,0.092
0.1,sgd,0.01,50,0.122
0.1,sgd,0.1,50,0.68
0.1,sgd,0,100,0.1
0.1,sgd,0.001,100,0.09
0.1,sgd,0.01,100,0.122
0.1,sgd,0.1,100,0.698
0.1,sgd,0,150,0.086
0.1,sgd,0.001,150,0.098
0.1,sgd,0.01,150,0.12
0.1,sgd,0.1,150,0.762
0.01,full batch,0,50,0.09
0.01,full batch,0.001,50,0.102
0.01,full batch,0.01,50,0.088
0.01,full batch,0.1,50,0.674
0.01,full batch,0,100,0.076
0.01,full batch,0.001,100,0.074
0.01,full batch,0.01,100,0.08
0.01,full batch,0.1,100,0.672
0.01,full batch,0,150,0.08
0.01,full batch,0.001,150,0.07
0.01,full batch,0.01,150,0.076
0.01,full batch,0.1,150,0.672
0.01,sgd,0,50,0.14
0.01,sgd,0.001,50,0.136
0.01,sgd,0.01,50,0.128
0.01,sgd,0.1,50,0.622
0.01,sgd,0,100,0.116
0.01,sgd,0.001,100,0.126
0.01,sgd,0.01,100,0.142
0.01,sgd,0.1,100,0.548
0.01,sgd,0,150,0.118
0.01,sgd,0.001,150,0.108
0.01,sgd,0.01,150,0.124
0.01,sgd,0.1,150,0.504
