flesch-kincaid_score,index_value
62.01,1
72.16,10
56.59,100
43.06,1000
54.56,1001
65.05,1002
49.15,1003
47.12,1004
52.19,1005
47.12,1006
70.13,1007
57.61,1008
41.03,1009
71.14,101
62.68,1010
54.56,1011
63.02,1012
52.53,1013
54.22,1014
71.14,1015
50.16,1016
45.09,1017
50.5,1018
75.54,1019
53.21,102
41.03,1020
58.62,1021
49.49,1022
43.06,1023
59.64,1024
47.12,1025
58.62,1026
61.67,1027
65.05,1028
49.15,1029
54.22,103
60.65,1030
49.15,1031
36.28,1032
66.07,1033
54.56,1034
52.53,1035
51.18,1036
48.13,1037
69.11,1038
51.52,1039
,104
51.52,1040
59.64,1041
72.16,1042
56.59,1043
59.64,1044
49.15,1045
59.64,1046
61.67,1047
49.15,1048
65.73,1049
51.52,105
53.21,1050
53.21,1051
50.16,1052
58.62,1053
51.18,1054
60.65,1055
58.62,1056
50.16,1057
66.07,1058
62.68,1059
74.19,106
55.24,1060
49.15,1061
49.15,1062
53.21,1063
50.16,1064
47.12,1065
62.68,1066
39.67,1067
44.75,1068
62.34,1069
49.15,107
85.69,1070
71.82,1071
82.31,1072
55.58,1073
72.83,1074
85.69,1075
70.8,1076
61.67,1077
47.12,1078
87.72,1079
80.62,108
66.74,1080
42.38,1081
85.69,1082
79.26,1083
69.11,1084
68.77,1085
65.73,1086
61.67,1087
51.85,1088
85.69,1089
52.19,109
87.72,1090
98.21,1091
55.58,1092
53.88,1093
85.69,1094
71.82,1095
68.77,1096
52.19,1097
79.26,1098
85.69,1099
58.62,11
55.24,110
71.82,1100
88.74,1101
57.61,1102
51.85,1103
85.69,1104
79.26,1105
70.13,1106
107.69,1107
52.19,1108
62.34,1109
61.67,111
85.69,1110
79.26,1111
60.65,1112
60.31,1113
67.76,1114
48.13,1115
61.33,1116
85.69,1117
71.82,1118
88.74,1119
35.95,112
60.65,1120
62.34,1121
85.69,1122
79.26,1123
68.77,1124
60.65,1125
70.8,1126
85.69,1127
80.28,1128
81.29,1129
61.67,113
53.55,1130
52.87,1131
85.69,1132
80.28,1133
64.04,1134
107.69,1135
49.15,1136
54.9,1137
85.69,1138
80.28,1139
81.63,114
65.05,1140
61.67,1141
68.77,1142
63.7,1143
71.82,1144
85.69,1145
80.28,1146
67.76,1147
62.68,1148
49.82,1149
67.76,115
85.69,1150
70.8,1151
80.28,1152
38.66,1153
45.42,1154
85.69,1155
87.72,1156
107.69,1157
63.7,1158
63.02,1159
60.65,116
70.8,1160
62.68,1161
85.69,1162
70.8,1163
90.77,1164
54.22,1165
68.77,1166
85.69,1167
55.58,1168
80.28,1169
46.1,117
58.62,1170
65.05,1171
78.25,1172
65.73,1173
45.42,1174
85.69,1175
46.1,1176
78.25,1177
67.76,1178
55.24,1179
55.24,118
79.26,1180
85.69,1181
40.69,1182
79.26,1183
80.28,1184
50.16,1185
61.33,1186
85.69,1187
56.59,1188
79.26,1189
59.64,119
89.75,1190
51.18,1191
70.8,1192
85.69,1193
53.21,1194
90.77,1195
52.19,1196
60.65,1197
48.47,1198
67.76,1199
60.65,12
53.55,120
62.34,1200
57.27,1201
64.71,1202
56.93,1203
40.01,1204
62.68,1205
48.47,1206
61.67,1207
48.47,1208
74.19,1209
63.7,121
56.93,1210
63.7,1211
56.93,1212
64.71,1213
56.93,1214
75.2,1215
56.93,1216
74.19,1217
56.93,1218
56.93,1219
61.67,122
74.19,1220
66.74,1221
56.93,1222
65.73,1223
40.01,1224
64.71,1225
48.47,1226
54.22,1227
48.47,1228
56.93,1229
54.22,123
73.17,1230
63.7,1231
61.33,1232
55.24,1233
40.01,1234
62.68,1235
56.93,1236
72.16,1237
72.83,1238
71.14,1239
,124
48.47,1240
47.46,1241
