flesch-kincaid_score,index_value
62.01,1
72.16,10
56.59,100
50.5,1000
54.56,1001
65.05,1002
49.15,1003
55.58,1004
60.65,1005
46.1,1006
70.13,1007
65.05,1008
49.49,1009
70.13,101
71.14,1010
54.56,1011
62.01,1012
60.99,1013
54.22,1014
71.14,1015
49.15,1016
52.53,1017
50.5,1018
76.56,1019
53.21,102
49.49,1020
66.07,1021
49.49,1022
42.04,1023
68.1,1024
47.12,1025
57.61,1026
61.67,1027
65.05,1028
49.15,1029
54.22,103
68.1,1030
48.13,1031
36.28,1032
66.07,1033
54.56,1034
52.53,1035
59.64,1036
48.13,1037
68.1,1038
51.52,1039
47.79,104
58.96,1040
67.08,1041
71.14,1042
56.59,1043
58.62,1044
49.15,1045
59.64,1046
61.67,1047
48.13,1048
64.71,1049
51.52,105
53.21,1050
53.21,1051
58.62,1052
57.61,1053
51.18,1054
69.11,1055
67.08,1056
50.16,1057
67.08,1058
61.67,1059
73.17,106
55.24,1060
49.15,1061
49.15,1062
52.19,1063
58.62,1064
47.12,1065
61.67,1066
39.67,1067
53.21,1068
77.23,1069
49.15,107
85.69,1070
65.73,1071
90.77,1072
54.56,1073
79.26,1074
85.69,1075
79.26,1076
72.16,1077
54.56,1078
87.72,1079
80.62,108
75.2,1080
58.28,1081
85.69,1082
87.72,1083
68.1,1084
76.22,1085
73.17,1086
60.65,1087
67.76,1088
85.69,1089
60.65,109
94.15,1090
98.21,1091
54.56,1092
68.77,1093
85.69,1094
87.72,1095
68.77,1096
53.21,1097
86.71,1098
85.69,1099
58.62,11
55.24,110
67.76,1100
87.72,1101
56.59,1102
67.76,1103
85.69,1104
86.71,1105
72.16,1106
116.15,1107
59.64,1108
77.23,1109
60.65,111
85.69,1110
78.25,1111
68.1,1112
68.77,1113
66.74,1114
49.15,1115
68.77,1116
85.69,1117
87.72,1118
97.2,1119
34.94,112
59.64,1120
77.23,1121
85.69,1122
86.71,1123
67.76,1124
61.67,1125
86.71,1126
85.69,1127
87.72,1128
89.75,1129
61.67,113
54.56,1130
60.31,1131
85.69,1132
72.16,1133
71.14,1134
116.15,1135
49.15,1136
69.79,1137
85.69,1138
87.72,1139
81.63,114
65.05,1140
61.67,1141
77.23,1142
72.16,1143
87.72,1144
85.69,1145
77.23,1146
66.74,1147
61.67,1148
64.71,1149
67.76,115
85.69,1150
66.74,1151
80.28,1152
49.15,1153
68.77,1154
85.69,1155
75.2,1156
116.15,1157
62.68,1158
71.48,1159
60.65,116
78.25,1160
62.68,1161
85.69,1162
78.25,1163
90.77,1164
61.67,1165
84.68,1166
85.69,1167
56.59,1168
70.8,1169
46.1,117
58.62,1170
72.16,1171
86.71,1172
74.19,1173
60.31,1174
85.69,1175
47.12,1176
85.69,1177
67.76,1178
62.68,1179
55.24,118
86.71,1180
85.69,1181
38.66,1182
76.22,1183
80.28,1184
59.64,1185
77.23,1186
85.69,1187
57.61,1188
86.71,1189
59.64,119
88.74,1190
50.16,1191
86.71,1192
85.69,1193
61.67,1194
99.23,1195
52.19,1196
60.65,1197
,1198
75.2,1199
69.11,12
53.55,120
58.28,1200
65.73,1201
63.7,1202
,1203
,1204
71.14,1205
,1206
60.65,1207
,1208
74.19,1209
72.16,121
,1210
72.16,1211
,1212
64.71,1213
,1214
75.2,1215
,1216
74.19,1217
,1218
,1219
69.11,122
74.19,1220
76.22,1221
,1222
65.73,1223
,1224
63.7,1225
,1226
53.21,1227
,1228
,1229
62.68,123
73.17,1230
62.68,1231
66.74,1232
55.24,1233
,1234
63.7,1235
,1236
72.16,1237
,1238
71.14,1239
47.79,124
,1240
46.44,1241
62.68,1242
57.61,1243
58.62,1244
50.16,1245
60.65,1246
57.61,1247
58.62,1248
72.16,1249
