"index","pos","neg","len"
1,11,8,287
2,6,5,196
3,49,25,843
4,11,7,204
5,17,7,334
6,40,17,709
7,18,10,347
8,29,9,399
9,27,16,432
10,20,16,343
11,76,42,1361
12,18,10,380
13,26,14,504
14,15,6,289
15,18,11,432
16,37,21,709
17,30,16,490
18,17,13,273
19,32,23,795
20,19,13,316
21,11,3,160
22,53,39,990
23,1,0,31
24,10,4,249
25,3,1,100
26,9,1,186
27,51,30,1024
28,2,0,153
29,24,18,511
30,3,1,154
31,8,6,194
32,16,13,380
33,16,5,402
34,11,8,186
35,15,9,285
36,9,8,195
37,11,1,195
38,11,1,195
39,6,8,224
40,10,8,384
41,66,29,987
42,0,0,0
43,0,0,0
44,10,1,160
45,9,7,289
46,2,6,191
47,6,3,178
48,18,17,448
49,10,6,288
50,1,0,55
51,73,31,1143
52,6,1,133
53,14,4,197
54,9,5,258
55,6,1,94
56,5,1,240
57,4,1,149
58,12,5,189
59,1,0,142
60,2,3,65
61,11,3,199
62,38,17,490
63,6,1,171
64,18,8,304
65,6,1,142
66,17,3,230
67,0,0,53
68,5,4,200
69,20,17,518
70,2,1,119
71,8,8,288
72,11,4,195
73,5,6,207
74,11,9,222
75,7,1,235
76,7,8,195
77,7,6,321
78,43,28,703
79,2,5,182
80,2,3,184
81,2,3,184
82,8,3,173
83,0,0,0
84,7,1,160
85,4,11,226
86,7,6,200
87,5,2,135
88,4,6,153
89,3,1,87
90,20,8,343
91,24,11,235
92,2,7,118
93,6,2,199
94,17,1,225
95,7,3,223
96,3,2,68
97,2,3,168
98,8,0,163
99,10,3,180
100,17,7,204
101,2,2,161
102,12,1,197
103,11,3,247
104,0,0,0
105,5,3,142
106,18,9,390
107,3,2,132
108,13,7,372
109,12,4,202
110,11,5,347
111,7,9,164
112,32,15,448
113,8,14,353
114,17,15,552
115,13,7,223
116,14,12,275
117,15,5,192
118,15,13,268
119,9,5,166
120,29,4,517
121,9,12,189
122,2,7,194
123,3,2,110
124,0,0,0
125,10,4,300
126,5,1,154
127,6,4,205
128,10,2,248
129,6,9,253
130,12,11,247
131,7,1,121
132,17,18,234
133,14,2,337
134,6,2,164
135,2,1,115
136,14,8,398
137,4,7,209
138,17,3,253
139,3,4,185
140,15,12,249
141,23,4,345
142,8,7,169
143,8,4,227
144,1,1,46
145,9,10,267
146,4,7,157
147,84,46,1041
148,6,5,265
149,0,0,0
150,5,5,244
151,19,7,282
152,3,5,98
153,10,6,217
154,11,6,254
155,8,13,264
156,8,3,203
157,38,15,623
158,9,6,185
159,23,11,435
160,6,2,149
161,9,4,203
162,7,3,186
163,14,6,188
164,10,12,210
165,15,6,222
166,8,2,163
167,32,16,467
168,0,0,22
169,6,4,109
170,0,3,178
171,4,4,187
172,12,11,374
173,22,9,370
174,4,1,202
175,10,15,404
176,7,2,134
177,2,2,50
178,6,0,120
179,12,1,305
180,26,11,507
181,8,1,190
182,6,7,287
183,0,0,0
184,10,5,256
185,7,2,153
186,4,8,268
187,6,4,164
188,8,5,232
189,5,5,259
190,6,2,175
191,25,12,286
192,31,7,340
193,3,4,165
194,12,5,261
195,14,4,223
196,9,5,187
197,20,6,404
198,13,7,313
199,0,0,0
200,2,3,63
201,29,21,633
202,23,17,742
203,49,38,823
204,48,27,932
205,24,22,618
206,52,21,847
207,46,30,898
208,63,71,1191
209,3,1,64
210,7,9,245
211,5,5,165
212,27,17,552
213,3,1,64
214,3,9,146
215,19,20,386
216,3,1,64
217,9,7,218
218,19,15,352
219,3,1,64
220,17,12,296
221,7,2,185
222,9,6,194
223,7,12,275
224,14,15,316
225,2,5,101
226,23,12,287
227,3,1,64
228,18,20,379
229,9,4,143
230,33,27,717
231,11,6,197
232,17,7,527
233,23,18,544
234,8,7,215
235,12,9,278
236,76,40,1050
237,7,2,170
238,29,33,535
239,17,15,562
240,54,26,759
241,6,5,185
242,7,7,146
243,6,7,158
244,19,11,306
245,22,13,450
246,30,11,457
247,4,8,103
248,47,26,759
249,11,8,344
250,11,9,207
251,22,15,449
252,10,6,191
253,9,3,185
254,7,6,222
255,36,13,446
256,4,3,113
257,20,9,422
258,14,8,230
259,13,13,280
260,15,14,318
261,6,3,135
262,20,18,532
263,16,13,351
264,47,33,787
265,44,14,594
266,33,15,591
267,8,4,149
268,17,18,534
269,28,21,442
270,5,6,183
271,11,5,202
272,23,9,378
273,2,5,174
274,0,0,55
275,7,2,209
276,6,4,187
277,19,6,431
278,8,2,179
279,52,29,1027
280,3,1,127
281,16,13,466
282,7,10,171
283,20,13,398
284,47,17,789
285,35,15,734
286,57,21,823
287,25,21,510
288,9,6,271
289,5,7,169
290,4,7,166
291,12,17,294
292,15,8,339
293,22,10,468
294,16,9,242
295,13,4,283
296,23,6,315
297,11,10,220
298,22,3,439
299,13,13,266
300,10,6,257
301,43,23,970
302,11,5,190
303,23,6,405
304,32,14,525
305,27,24,789
306,20,5,261
307,24,21,615
308,10,4,135
309,19,10,297
310,18,3,233
311,29,22,524
312,8,4,194
313,9,3,189
314,6,1,246
315,14,8,324
316,2,4,82
317,7,4,135
318,40,20,622
319,12,7,340
320,13,8,187
321,35,16,687
322,39,9,461
323,19,7,279
324,40,13,643
325,7,3,144
326,29,21,608
327,27,19,555
328,26,5,269
329,3,0,134
330,28,16,399
331,6,9,214
332,34,7,486
333,64,30,1055
334,27,8,351
335,23,23,626
336,42,18,551
337,14,5,376
338,10,14,297
339,54,26,870
340,45,20,753
341,28,19,647
342,42,12,676
343,21,13,389
344,97,48,1204
345,21,21,536
346,11,4,171
347,79,38,959
348,29,16,487
349,35,16,802
350,1,1,46
351,31,19,545
352,0,0,39
353,29,8,521
354,51,25,700
355,0,0,38
356,32,17,588
357,60,22,959
358,0,0,37
359,32,23,570
360,0,0,37
361,4,2,131
362,40,14,450
363,0,0,42
364,0,0,39
365,39,20,487
366,80,42,1215
367,46,11,676
368,53,25,743
369,34,9,615
370,0,0,36
371,88,48,1182
372,0,0,38
373,29,7,476
374,10,5,160
375,0,0,39
376,34,18,621
377,0,0,35
378,1,0,45
379,25,19,371
380,9,11,175
381,18,13,594
382,1,0,19
383,19,15,523
384,23,27,412
385,2,1,71
386,20,12,642
387,0,0,2
388,15,1,493
389,23,11,573
390,41,36,843
391,5,3,125
392,1,0,19
393,1,0,19
394,22,19,736
395,22,12,585
